image_url,title,source,tags
https://picsum.photos/seed/art18/400/480,Liberty Leading the People — Eugène Delacroix,Louvre,"romanticism,history,figure"
https://picsum.photos/seed/art19/480/320,The Anatomy Lesson of Dr. Nicolaes Tulp — Rembrandt van Rijn,Mauritshuis,"baroque,group portrait,anatomy"
https://picsum.photos/seed/art20/380/520,Nighthawks — Edward Hopper,Art Institute of Chicago,"realism,urban,night"
https://picsum.photos/seed/art21/360/560,The Garden of Earthly Delights — Hieronymus Bosch,Museo del Prado,"northern renaissance,triptych,fantasy"
https://picsum.photos/seed/art22/420/420,Café Terrace at Night — Vincent van Gogh,Kröller-Müller Museum,"post-impressionism,night,street scene"
https://picsum.photos/seed/art23/520/300,The Sleeping Gypsy — Henri Rousseau,Museum of Modern Art,"naive art,desert,figure"
https://picsum.photos/seed/art24/400/480,The Third of May 1808 — Francisco Goya,Museo del Prado,"romanticism,history,war"
https://picsum.photos/seed/art25/480/320,Christina's World — Andrew Wyeth,Museum of Modern Art,"realism,landscape,figure"
https://picsum.photos/seed/art26/380/520,The Tower of Babel — Pieter Bruegel the Elder,Kunsthistorisches Museum Vienna,"northern renaissance,architecture,biblical"
https://picsum.photos/seed/art27/360/560,Bal du moulin de la Galette — Pierre-Auguste Renoir,Musée d'Orsay,"impressionism,leisure,crowd scene"
https://picsum.photos/seed/art28/420/420,The Hay Wain — John Constable,National Gallery London,"romanticism,landscape,rural"
https://picsum.photos/seed/art29/520/300,Ophelia — John Everett Millais,Tate Britain,"pre-raphaelite,figure,river"
https://picsum.photos/seed/art30/400/480,Composition VIII — Wassily Kandinsky,Solomon R. Guggenheim Museum,"abstract,geometric,modernism"
https://picsum.photos/seed/art31/480/320,The Fighting Temeraire — J. M. W. Turner,National Gallery London,"romanticism,seascape,industrial"
https://picsum.photos/seed/art32/380/520,Wheatfield with Crows — Vincent van Gogh,Van Gogh Museum,"post-impressionism,landscape,sky"
https://picsum.photos/seed/art33/360/560,The Death of Marat — Jacques-Louis David,Royal Museums of Fine Arts Belgium,"neoclassicism,history,portrait"
https://picsum.photos/seed/art34/420/420,The Card Players — Paul Cézanne,Musée d'Orsay,"post-impressionism,genre scene,interior"
https://picsum.photos/seed/art35/520/300,Luncheon of the Boating Party — Pierre-Auguste Renoir,The Phillips Collection,"impressionism,leisure,group scene"
https://picsum.photos/seed/art36/400/480,The Ambassadors — Hans Holbein the Younger,National Gallery London,"northern renaissance,portrait,still life"
https://picsum.photos/seed/art37/480/320,Saturn Devouring His Son — Francisco Goya,Museo del Prado,"romanticism,mythology,dark art"
https://picsum.photos/seed/art38/380/520,The Swing — Jean-Honoré Fragonard,Wallace Collection,"rococo,garden,figure"
https://picsum.photos/seed/art39/360/560,Bacchus and Ariadne — Titian,National Gallery London,"renaissance,mythology,figure"
https://picsum.photos/seed/art40/420/420,The Two Fridas — Frida Kahlo,Museo de Arte Moderno,"surrealism,portrait,self-portrait"
https://picsum.photos/seed/art41/520/300,Guernica — Pablo Picasso,Museo Reina Sofía,"cubism,war,mural"
https://picsum.photos/seed/art42/400/480,The Blue Boy — Thomas Gainsborough,The Huntington,"portrait,rococo,figure"
https://picsum.photos/seed/art43/480/320,Self-Portrait with Bandaged Ear — Vincent van Gogh,Courtauld Gallery,"post-impressionism,portrait,self-portrait"
https://picsum.photos/seed/art44/380/520,The Oxbow — Thomas Cole,Metropolitan Museum of Art,"hudson river school,landscape,river"
https://picsum.photos/seed/art45/360/560,Napoleon Crossing the Alps — Jacques-Louis David,Château de Malmaison,"neoclassicism,portrait,history"
https://picsum.photos/seed/art46/420/420,A Bar at the Folies-Bergère — Édouard Manet,Courtauld Gallery,"impressionism,interior,portrait"
https://picsum.photos/seed/art47/520/300,The Lady of Shalott — John William Waterhouse,Tate Britain,"pre-raphaelite,figure,river"
https://picsum.photos/seed/art48/400/480,The Creation of Adam — Michelangelo,Sistine Chapel,"renaissance,biblical,fresco"
https://picsum.photos/seed/art49/480/320,Primavera — Sandro Botticelli,Uffizi Gallery,"renaissance,mythology,garden"
https://picsum.photos/seed/art50/380/520,The Sower — Vincent van Gogh,Kröller-Müller Museum,"post-impressionism,landscape,rural"
https://picsum.photos/seed/art51/360/560,Woman with a Parasol — Claude Monet,National Gallery of Art,"impressionism,landscape,figure"
https://picsum.photos/seed/art52/420/420,The Gulf Stream — Winslow Homer,Metropolitan Museum of Art,"realism,seascape,figure"
https://picsum.photos/seed/art53/520/300,Dance at Bougival — Pierre-Auguste Renoir,Museum of Fine Arts Boston,"impressionism,leisure,figure"
https://picsum.photos/seed/art54/400/480,The Tempest — Giorgione,Gallerie dell'Accademia,"renaissance,landscape,figure"
https://picsum.photos/seed/art55/480/320,The Storm on the Sea of Galilee — Rembrandt van Rijn,"stolen, formerly Isabella Stewart Gardner Museum","baroque,seascape,biblical"
https://picsum.photos/seed/art56/380/520,View of Toledo — El Greco,Metropolitan Museum of Art,"mannerism,landscape,sky"
https://picsum.photos/seed/art57/360/560,The Milkmaid — Johannes Vermeer,Rijksmuseum,"dutch golden age,genre scene,interior"
https://picsum.photos/seed/art58/420/420,Judith Slaying Holofernes — Artemisia Gentileschi,Museo di Capodimonte,"baroque,biblical,figure"
https://picsum.photos/seed/art59/520/300,The Fall of Icarus — Pieter Bruegel the Elder,Royal Museums of Fine Arts Belgium,"northern renaissance,mythology,landscape"
https://picsum.photos/seed/art60/400/480,The Basket of Apples — Paul Cézanne,Art Institute of Chicago,"post-impressionism,still life,fruit"
https://picsum.photos/seed/art61/480/320,Olympia — Édouard Manet,Musée d'Orsay,"realism,portrait,figure"
https://picsum.photos/seed/art62/380/520,The Girl with a Red Hat — Johannes Vermeer,National Gallery of Art,"dutch golden age,portrait,oil painting"
https://picsum.photos/seed/art63/360/560,自画像 — 葛饰北斎,Museum of Fine Arts Boston,"ukiyo-e,self-portrait,woodblock"
https://picsum.photos/seed/art64/420/420,The Rokeby Venus — Diego Velázquez,National Gallery London,"baroque,mythology,figure"
https://picsum.photos/seed/art65/520/300,Christ in the Storm on the Sea of Galilee — Ludolf Bakhuizen,Alte Pinakothek,"baroque,seascape,biblical"
https://picsum.photos/seed/art66/400/480,Snap the Whip — Winslow Homer,Butler Institute of American Art,"realism,genre scene,rural"
https://picsum.photos/seed/art67/480/320,The Peasant Wedding — Pieter Bruegel the Elder,Kunsthistorisches Museum Vienna,"northern renaissance,genre scene,rural"
https://picsum.photos/seed/art68/380/520,Portrait of Madame X — John Singer Sargent,Metropolitan Museum of Art,"portrait,realism,figure"
https://picsum.photos/seed/art69/360/560,The Boating Party — Mary Cassatt,National Gallery of Art,"impressionism,leisure,figure"
https://picsum.photos/seed/art70/420/420,Autumn Rhythm — Jackson Pollock,Metropolitan Museum of Art,"abstract expressionism,abstract,modernism"
https://picsum.photos/seed/art71/520/300,"Composition with Red, Blue and Yellow — Piet Mondrian",Kunstmuseum Den Haag,"abstract,geometric,modernism"
https://picsum.photos/seed/art72/400/480,The Repast of the Lion — Henri Rousseau,Museum of Modern Art,"naive art,jungle,animal"
https://picsum.photos/seed/art73/480/320,"Nude Descending a Staircase, No. 2 — Marcel Duchamp",Philadelphia Museum of Art,"cubism,figure,motion"
https://picsum.photos/seed/art74/380/520,The Weeping Woman — Pablo Picasso,Tate Modern,"cubism,portrait,figure"
https://picsum.photos/seed/art75/360/560,Landscape with the Fall of Icarus — Pieter Bruegel the Elder,Royal Museums of Fine Arts Belgium,"northern renaissance,landscape,mythology"
https://picsum.photos/seed/art76/420/420,The Third-Class Carriage — Honoré Daumier,Metropolitan Museum of Art,"realism,genre scene,interior"
https://picsum.photos/seed/art77/520/300,Paris Street; Rainy Day — Gustave Caillebotte,Art Institute of Chicago,"impressionism,urban,street scene"
https://picsum.photos/seed/art78/400/480,The Umbrellas — Pierre-Auguste Renoir,National Gallery London,"impressionism,urban,figure"
https://picsum.photos/seed/art79/480/320,The Absinthe Drinker — Edgar Degas,Musée d'Orsay,"impressionism,interior,figure"
https://picsum.photos/seed/art80/380/520,Dance Class — Edgar Degas,Musée d'Orsay,"impressionism,dance,interior"
https://picsum.photos/seed/art81/360/560,The Tub — Edgar Degas,Musée d'Orsay,"impressionism,interior,figure"
https://picsum.photos/seed/art82/420/420,Woman Reading — Édouard Manet,Art Institute of Chicago,"impressionism,interior,figure"
https://picsum.photos/seed/art83/520/300,Boulevard Montmartre — Camille Pissarro,National Gallery London,"impressionism,urban,street scene"
https://picsum.photos/seed/art84/400/480,Red Boats at Argenteuil — Claude Monet,Musée d'Orsay,"impressionism,river,boats"
https://picsum.photos/seed/art85/480/320,Poppy Field — Claude Monet,Musée d'Orsay,"impressionism,landscape,flowers"
https://picsum.photos/seed/art86/380/520,The Magpie — Claude Monet,Musée d'Orsay,"impressionism,landscape,snow"
https://picsum.photos/seed/art87/360/560,"Rouen Cathedral, Full Sunlight — Claude Monet",Musée d'Orsay,"impressionism,architecture,light"
https://picsum.photos/seed/art88/420/420,"Haystacks, End of Summer — Claude Monet",Musée d'Orsay,"impressionism,landscape,rural"
https://picsum.photos/seed/art89/520/300,Irises — Vincent van Gogh,J. Paul Getty Museum,"post-impressionism,flowers,garden"
https://picsum.photos/seed/art90/400/480,Sunflowers — Vincent van Gogh,National Gallery London,"post-impressionism,flowers,still life"
https://picsum.photos/seed/art91/480/320,The Bedroom — Vincent van Gogh,Van Gogh Museum,"post-impressionism,interior,domestic"
https://picsum.photos/seed/art92/380/520,The Potato Eaters — Vincent van Gogh,Van Gogh Museum,"realism,genre scene,rural"
https://picsum.photos/seed/art93/360/560,Almond Blossoms — Vincent van Gogh,Van Gogh Museum,"post-impressionism,flowers,spring"
https://picsum.photos/seed/art94/420/420,Starry Night Over the Rhône — Vincent van Gogh,Musée d'Orsay,"post-impressionism,night,river"
https://picsum.photos/seed/art95/520/300,Portrait of Dr. Gachet — Vincent van Gogh,Private collection,"post-impressionism,portrait,figure"
https://picsum.photos/seed/art96/400/480,Mont Sainte-Victoire — Paul Cézanne,Metropolitan Museum of Art,"post-impressionism,landscape,mountain"
https://picsum.photos/seed/art97/480/320,The Large Bathers — Paul Cézanne,Philadelphia Museum of Art,"post-impressionism,figure,landscape"
https://picsum.photos/seed/art98/380/520,Still Life with Apples — Paul Cézanne,J. Paul Getty Museum,"post-impressionism,still life,fruit"
https://picsum.photos/seed/art99/360/560,Where Do We Come From? What Are We? Where Are We Going? — Paul Gauguin,Museum of Fine Arts Boston,"post-impressionism,figure,allegory"
https://picsum.photos/seed/art100/420/420,The Yellow Christ — Paul Gauguin,Albright-Knox Art Gallery,"post-impressionism,religious,figure"
https://picsum.photos/seed/art101/520/300,Tahitian Women on the Beach — Paul Gauguin,Musée d'Orsay,"post-impressionism,figure,beach"
https://picsum.photos/seed/art102/400/480,Vision After the Sermon — Paul Gauguin,National Galleries of Scotland,"post-impressionism,religious,figure"
https://picsum.photos/seed/art103/480/320,The Circus — Georges Seurat,Musée d'Orsay,"pointillism,leisure,figure"
https://picsum.photos/seed/art104/380/520,Bathers at Asnières — Georges Seurat,National Gallery London,"pointillism,river,leisure"
https://picsum.photos/seed/art105/360/560,The Eiffel Tower — Georges Seurat,Museum of Modern Art,"pointillism,architecture,urban"
https://picsum.photos/seed/art106/420/420,Young Woman Powdering Herself — Georges Seurat,Courtauld Gallery,"pointillism,interior,figure"
https://picsum.photos/seed/art107/520/300,The Cliff Walk at Pourville — Claude Monet,Art Institute of Chicago,"impressionism,seascape,cliff"
https://picsum.photos/seed/art108/400/480,The Beach at Trouville — Claude Monet,National Gallery London,"impressionism,beach,figure"
https://picsum.photos/seed/art109/480/320,Gare Saint-Lazare — Claude Monet,Musée d'Orsay,"impressionism,urban,station"
https://picsum.photos/seed/art110/380/520,The Japanese Footbridge — Claude Monet,Museum of Modern Art,"impressionism,garden,bridge"
https://picsum.photos/seed/art111/360/560,Woman with a Parrot — Gustave Courbet,Metropolitan Museum of Art,"realism,figure,nude"
https://picsum.photos/seed/art112/420/420,The Stone Breakers — Gustave Courbet,"destroyed, formerly Gemäldegalerie Dresden","realism,genre scene,rural"
https://picsum.photos/seed/art113/520/300,A Burial at Ornans — Gustave Courbet,Musée d'Orsay,"realism,funeral,group portrait"
https://picsum.photos/seed/art114/400/480,The Painter's Studio — Gustave Courbet,Musée d'Orsay,"realism,allegory,interior"
https://picsum.photos/seed/art115/480/320,The Gleaners — Jean-François Millet,Musée d'Orsay,"realism,rural,figure"
https://picsum.photos/seed/art116/380/520,The Angelus — Jean-François Millet,Musée d'Orsay,"realism,rural,religious"
https://picsum.photos/seed/art117/360/560,The Sower — Jean-François Millet,Museum of Fine Arts Boston,"realism,rural,figure"
https://picsum.photos/seed/art118/420/420,Man with a Hoe — Jean-François Millet,J. Paul Getty Museum,"realism,rural,figure"
